ourid,sci_values,conclusion,disclosure,pa_1,pa_2,pa_3,pa_4,pa_5,pa_6,pa_7,pa_mean,tradeoff,age,sex,ideology,educatio,part_values,shared_values
1,public health,does not cause harm,TRUE,2,3,6,1,2,1,1,2.28571428571427,2,7,0,2,3,economic growth,FALSE
2,public health,causes harm,TRUE,5,5,5,6,6,6,4.91,5.41571428571427,2,1,0,5,1,economic growth,FALSE
3,economic growth,causes harm,TRUE,7,7,7,7,7,7,7,7,2,5,0,7,1,economic growth,TRUE
4,economic growth,causes harm,TRUE,4,4,4,4,4,4,4,4,2,6,1,7,1,economic growth,TRUE
5,economic growth,does not cause harm,TRUE,4,4,5,4,4,4,4,4.14285714285714,3,3,1,4,2,public health,FALSE
7,economic growth,causes harm,TRUE,5,5,5,5,4,4,4,4.57142857142859,2,3,1,2,2,economic growth,TRUE
8,public health,causes harm,TRUE,7,7,6,5,7,7,6,6.42857142857141,1,9,0,2,1,economic growth,FALSE
9,economic growth,does not cause harm,TRUE,5,5,6,3,3,4,3,4.14285714285714,4,6,0,6,2,public health,FALSE
10,public health,does not cause harm,FALSE,4,5,5,4,5,3,4,4.28571428571427,3,2,1,5,1,public health,TRUE
11,economic growth,does not cause harm,FALSE,4,4,5,4,4,5,4,4.28571428571427,4,5,1,6,3,public health,FALSE
12,public health,does not cause harm,TRUE,2,2,4,2,2,5,2,2.71428571428573,3,10,1,3,4,public health,TRUE
13,economic growth,does not cause harm,TRUE,4,5,5,3,4,3,4,4,2,2,0,3,1,economic growth,TRUE
15,economic growth,causes harm,TRUE,7,5,5,7,7,6,6,6.14285714285714,4,5,0,4,2,public health,FALSE
16,economic growth,causes harm,TRUE,5,4,4,4,4,3,4,4,4,3,1,6,3,public health,FALSE
17,economic growth,does not cause harm,TRUE,3,3,2,1,1,1,2,1.85714285714286,4,4,0,5,3,public health,FALSE
18,public health,does not cause harm,TRUE,6,6,6,5,5,6,6,5.71428571428573,4,2,0,6,3,public health,TRUE
19,economic growth,does not cause harm,TRUE,5,6,7,6,7,6,4,5.85714285714286,1,2,1,3,3,economic growth,TRUE
20,economic growth,does not cause harm,FALSE,7,7,7,7,7,7,7,7,2,5,0,2,4,economic growth,TRUE
21,public health,does not cause harm,FALSE,3,4,5,2,2,2,2,2.85714285714286,4,6,0,4,3,public health,TRUE
22,public health,causes harm,FALSE,6,6,6,6,6,6,6,6,1,4,1,6,2,economic growth,FALSE
23,economic growth,does not cause harm,TRUE,6,5,6,4,4,3,4,4.57142857142859,3,3,1,4,3,public health,FALSE
24,public health,does not cause harm,FALSE,5,5,5,3,3,5,5,4.42857142857141,2,3,0,6,3,economic growth,FALSE
25,public health,causes harm,TRUE,6,6,6,6,6,6,6,6,3,4,1,2,1,public health,TRUE
26,public health,does not cause harm,TRUE,7,7,7,7,7,7,7,7,3,9,1,2,3,public health,TRUE
27,economic growth,causes harm,TRUE,6,6,5,6,7,1,7,5.42857142857141,2,3,0,4,3,economic growth,TRUE
28,public health,causes harm,TRUE,6,4,5,6,6,6,5,5.42857142857141,2,3,1,4,3,economic growth,FALSE
29,public health,causes harm,FALSE,4,3,4,5,3,5,3,3.85714285714286,2,2,0,3,3,economic growth,FALSE
31,economic growth,causes harm,FALSE,7,7,7,7,7,7,7,7,3,5,NA,4,3,public health,FALSE
32,public health,does not cause harm,TRUE,4,3,4,4,3,6,4,4,2,1,0,4,3,economic growth,FALSE
33,public health,causes harm,FALSE,6,5,6,5,5,5,5,5.28571428571427,2,5,1,4,1,economic growth,FALSE
34,economic growth,causes harm,FALSE,6,6,6,6,6,7,4,5.85714285714286,2,3,1,6,2,economic growth,TRUE
35,economic growth,causes harm,FALSE,7,6,7,7,7,7,7,6.85714285714286,2,2,1,6,1,economic growth,TRUE
36,economic growth,causes harm,TRUE,3,3,4,4,4,5,3,3.71428571428573,2,2,1,4,2,economic growth,TRUE
37,economic growth,does not cause harm,FALSE,4,4,4,2,2,2,2,2.85714285714286,3,4,1,7,3,public health,FALSE
38,economic growth,causes harm,FALSE,6,4,5,4,5,6,5,5,2,2,1,3,3,economic growth,TRUE
39,public health,does not cause harm,FALSE,5,5,6,3,3,5,2,4.14285714285714,3,7,0,6,2,public health,TRUE
40,economic growth,causes harm,TRUE,7,7,7,7,6,7,6,6.71428571428573,4,6,0,6,3,public health,FALSE
41,public health,does not cause harm,TRUE,6,6,6,6,6,6,6,6,2,5,1,3,3,economic growth,FALSE
42,economic growth,causes harm,TRUE,7,7,7,7,7,7,7,7,2,3,0,6,3,economic growth,TRUE
43,economic growth,does not cause harm,TRUE,7,7,7,7,7,7,7,7,3,2,1,7,1,public health,FALSE
44,economic growth,does not cause harm,TRUE,6,5,6,6,4,4,5,5.14285714285714,4,4,1,4,1,public health,FALSE
45,economic growth,causes harm,TRUE,7,6,6,5,6,6,6,6,4,4,0,3,4,public health,FALSE
46,public health,does not cause harm,FALSE,5,5,5,5,5,5,4,4.85714285714286,3,5,1,5,3,public health,TRUE
47,economic growth,does not cause harm,TRUE,6,6,7,6,6,6,6,6.14285714285714,2,9,0,2,1,economic growth,TRUE
48,public health,causes harm,TRUE,4,5,5,5,5,6,4,4.85714285714286,2,4,1,4,1,economic growth,FALSE
49,public health,causes harm,TRUE,6,7,7,6,6,7,7,6.57142857142859,4,7,1,6,1,public health,TRUE
50,public health,does not cause harm,TRUE,3,2,3,1,1,1,3,2,2,3,1,6,1,economic growth,FALSE
51,public health,does not cause harm,FALSE,6,6,6,6,6,4,7,5.85714285714286,2,6,0,3,3,economic growth,FALSE
52,public health,does not cause harm,FALSE,7,7,7,7,7,7,7,7,3,7,1,7,1,public health,TRUE
53,economic growth,does not cause harm,FALSE,4,3,6,3,3,3,3,3.57142857142859,2,5,1,5,1,economic growth,TRUE
54,public health,does not cause harm,TRUE,5,5,6,5,5,5,4,5,4,3,1,5,2,public health,TRUE
55,public health,causes harm,TRUE,3,3,3,2,3,3,4,3,1,4,0,4,3,economic growth,FALSE
56,public health,causes harm,TRUE,6,6,4,6,6,6,6,5.71428571428573,4,10,0,4,3,public health,TRUE
57,public health,does not cause harm,TRUE,6,6,7,7,7,6,6,6.42857142857141,3,3,0,6,3,public health,TRUE
58,economic growth,does not cause harm,FALSE,5,6,6,5,5,6,6,5.57142857142859,2,3,0,2,4,economic growth,TRUE
59,public health,causes harm,TRUE,5,5,5,5,5,5,5,5,2,5,0,3,4,economic growth,FALSE
60,public health,causes harm,TRUE,5.24,5,5,5,5,5,5,5.03428571428573,2,4,0,4,3,economic growth,FALSE
61,economic growth,does not cause harm,TRUE,6,6,5,6,6,6,6,5.85714285714286,2,5,0,3,4,economic growth,TRUE
62,economic growth,does not cause harm,TRUE,6,7,7,3,3,5,4,5,4,10,1,7,1,public health,FALSE
63,economic growth,causes harm,FALSE,7,7,7,5,5,6,6,6.14285714285714,4,3,1,6,4,public health,FALSE
64,public health,does not cause harm,TRUE,6,6,6,6,6,6,6,6,2,4,0,4,1,economic growth,FALSE
65,economic growth,causes harm,FALSE,5,5,5,5,5,4,5,4.85714285714286,2,2,0,5,3,economic growth,TRUE
66,economic growth,does not cause harm,TRUE,3,4,3,1,2,5.04,2,2.86285714285714,4,4,0,7,3,public health,FALSE
67,public health,does not cause harm,TRUE,4,4,4,4,4,4,4,4,2,4,0,6,3,economic growth,FALSE
68,economic growth,does not cause harm,TRUE,4,4,4,4,4,4,4,4,2,2,0,6,2,economic growth,TRUE
69,economic growth,causes harm,TRUE,4,4,4,3,4,5,4,4,4,5,0,6,3,public health,FALSE
70,economic growth,causes harm,FALSE,7,7,7,5,5,5,7,6.14285714285714,2,6,1,2,3,economic growth,TRUE
71,economic growth,does not cause harm,TRUE,5,5,5,4,4,4,4,4.42857142857141,3,7,1,5,4,public health,FALSE
72,public health,does not cause harm,FALSE,6,6,6,6,6,6,6,6,4,3,1,6,3,public health,TRUE
73,economic growth,causes harm,TRUE,5,5,6,6,7,5,5,5.57142857142859,3,2,1,7,2,public health,FALSE
74,public health,does not cause harm,FALSE,6,7,7,4,4,4,6,5.42857142857141,2,6,1,4,3,economic growth,FALSE
75,economic growth,does not cause harm,TRUE,7,7,7,5,5,6,6,6.14285714285714,2,3,1,4,3,economic growth,TRUE
76,public health,does not cause harm,TRUE,6,6,6,5,6,5,5,5.57142857142859,2,3,0,4,3,economic growth,FALSE
77,economic growth,causes harm,TRUE,5,5,6,6,6,5,6,5.57142857142859,3,6,1,6,4,public health,FALSE
78,economic growth,causes harm,TRUE,5,5,4,4,4,4,4,4.28571428571427,4,3,1,6,4,public health,FALSE
79,economic growth,causes harm,TRUE,7,7,7,6,6,7,7,6.71428571428573,2,3,0,5,1,economic growth,TRUE
80,public health,causes harm,FALSE,4,4,3,5,4,6,4,4.28571428571427,2,2,0,4,2,economic growth,FALSE
81,public health,causes harm,TRUE,7,5.23,7,7,7,7,7,6.74714285714286,4,4,0,4,3,public health,TRUE
82,public health,causes harm,TRUE,6,6,6,6,6,6,6,6,3,7,1,6,1,public health,TRUE
83,public health,does not cause harm,FALSE,4,3,5,6,3,3,6,4.28571428571427,1,2,0,6,4,economic growth,FALSE
84,public health,causes harm,TRUE,7,7,7,7,7,7,7,7,3,10,0,3,3,public health,TRUE
85,public health,causes harm,TRUE,7,4,6,4,4,7,4,5.14285714285714,4,3,1,4,1,public health,TRUE
86,public health,does not cause harm,TRUE,4,4,4,2,2,4,2,3.14285714285714,4,8,1,5,4,public health,TRUE
87,economic growth,does not cause harm,TRUE,7,6,7,4,4,5,4,5.28571428571427,4,3,0,6,2,public health,FALSE
89,economic growth,does not cause harm,FALSE,1,1,1,1,1,1,1,1,4,3,0,7,3,public health,FALSE
90,public health,does not cause harm,TRUE,5,6,7,4,4,4,5,5,2,5,0,5,3,economic growth,FALSE
91,public health,causes harm,FALSE,7,7,7,7,7,7,7,7,3,2,0,5,1,public health,TRUE
92,economic growth,does not cause harm,TRUE,5,5,6,4,4,5,6,5,2,1,0,1,1,economic growth,TRUE
93,economic growth,causes harm,TRUE,7,7,7,5,6,7,6,6.42857142857141,4,7,0,2,1,public health,FALSE
94,economic growth,causes harm,TRUE,6,6,6,7,6,5,6,6,2,5,1,2,2,economic growth,TRUE
95,public health,causes harm,FALSE,6,6,5,5,5,6,5,5.42857142857141,3,3,0,5,2,public health,TRUE
96,public health,does not cause harm,TRUE,4,4,4,4,4,5,5,4.28571428571427,4,5,0,3,3,public health,TRUE
97,economic growth,causes harm,TRUE,7,7,7,7,7,7,7,7,2,4,1,4,3,economic growth,TRUE
98,economic growth,causes harm,TRUE,4,5,4,4,4,4,5,4.28571428571427,3,4,0,6,1,public health,FALSE
100,public health,does not cause harm,TRUE,5,6,6,5,6,6,6,5.71428571428573,2,4,0,2,3,economic growth,FALSE
101,economic growth,does not cause harm,TRUE,5,4,5,5,4,5,5,4.71428571428573,2,3,0,6,3,economic growth,TRUE
102,economic growth,causes harm,FALSE,7,7,7,7,7,7,7,7,2,3,0,2,3,economic growth,TRUE
103,public health,causes harm,TRUE,7,5.23,7,6,6,6,7,6.31857142857141,2,5,1,3,4,economic growth,FALSE
104,economic growth,does not cause harm,TRUE,4,4,4,3,3,2,3,3.28571428571427,3,3,0,7,1,public health,FALSE
105,public health,does not cause harm,FALSE,6,6,6,6,6,6,6,6,2,5,0,2,1,economic growth,FALSE
106,economic growth,causes harm,TRUE,4,5,5,4,4,3,3,4,3,3,1,6,3,public health,FALSE
107,economic growth,does not cause harm,TRUE,4,4,4,4,4,4,3,3.85714285714286,4,4,0,5,2,public health,FALSE
108,public health,causes harm,FALSE,6,7,6,6,6,5,7,6.14285714285714,3,4,0,4,3,public health,TRUE
109,economic growth,does not cause harm,TRUE,4,3,5,1,1,1,1,2.28571428571427,4,4,0,6,1,public health,FALSE
111,economic growth,does not cause harm,TRUE,5,5,5,4,4,4,5,4.57142857142859,4,3,1,6,1,public health,FALSE
112,economic growth,does not cause harm,FALSE,4,4,4,4,4,3,3,3.71428571428573,4,2,1,4,2,public health,FALSE
113,economic growth,causes harm,TRUE,6,4,6,7,7,7,6,6.14285714285714,3,8,0,2,3,public health,FALSE
114,public health,causes harm,TRUE,6,6,6,6,6,6,6,6,4,3,1,7,4,public health,TRUE
115,economic growth,does not cause harm,TRUE,2,4,4,2,2,4,2,2.85714285714286,4,8,1,6,2,public health,FALSE
116,public health,causes harm,TRUE,6,6,6,6,6,6,6,6,4,3,0,7,1,public health,TRUE
117,economic growth,does not cause harm,TRUE,4,4,3,2,2,2,1,2.57142857142859,2,3,1,6,1,economic growth,TRUE
118,public health,causes harm,TRUE,7,7,7,7,7,7,7,7,1,10,0,4,2,economic growth,FALSE
119,public health,does not cause harm,TRUE,7,7,7,6,6,6,7,6.57142857142859,3,3,0,6,3,public health,TRUE
120,economic growth,causes harm,FALSE,7,6,7,7,7,7,7,6.85714285714286,4,4,1,7,1,public health,FALSE
121,public health,does not cause harm,TRUE,5,5,5,5,5,5,5,5,3,5,1,4,3,public health,TRUE
122,economic growth,does not cause harm,FALSE,7,7,7,7,7,7,7,7,4,3,1,6,1,public health,FALSE
123,economic growth,causes harm,TRUE,5,5,5,5,6,6,6,5.42857142857141,4,4,1,5,3,public health,FALSE
124,public health,does not cause harm,TRUE,6,6,7,6,6,6,6,6.14285714285714,4,6,0,4,3,public health,TRUE
125,public health,does not cause harm,FALSE,4,4,4,4,4,4,4,4,4,6,1,7,3,public health,TRUE
126,economic growth,causes harm,FALSE,6,6,6,6,6,6,6,6,3,5,1,7,1,public health,FALSE
127,economic growth,does not cause harm,FALSE,7,7,7,7,7,7,7,7,1,4,0,1,3,economic growth,TRUE
128,economic growth,does not cause harm,FALSE,6,7,7,5,5,5,7,6,3,3,0,5,3,public health,FALSE
129,economic growth,causes harm,FALSE,4,4,4,4,4,4,4,4,3,2,0,6,1,public health,FALSE
130,economic growth,does not cause harm,TRUE,4,5,5,4,4,4,4,4.28571428571427,1,3,0,4,3,economic growth,TRUE
131,economic growth,causes harm,TRUE,7,7,7,6,6,6,6,6.42857142857141,4,4,0,2,1,public health,FALSE
132,economic growth,causes harm,TRUE,7,6,6,6,6,6,7,6.28571428571427,4,4,1,7,4,public health,FALSE
133,economic growth,causes harm,FALSE,6,6,6,6,6,6,6,6,2,5,1,4,2,economic growth,TRUE
134,public health,does not cause harm,FALSE,5,5,6,5,4,5,5,5,2,4,1,7,3,economic growth,FALSE
135,public health,does not cause harm,TRUE,5,5,5,4,4,4,4,4.42857142857141,4,6,0,4,2,public health,TRUE
136,economic growth,does not cause harm,FALSE,5,5,7,5,5,6,6,5.57142857142859,1,6,0,3,2,economic growth,TRUE
137,public health,causes harm,TRUE,7,7,7,6,6,6,7,6.57142857142859,3,6,1,2,1,public health,TRUE
138,public health,does not cause harm,TRUE,7,7,7,7,7,7,7,7,4,3,0,6,2,public health,TRUE
140,economic growth,does not cause harm,TRUE,4,3,2,1,2,3,2,2.42857142857141,2,4,0,5,1,economic growth,TRUE
141,economic growth,does not cause harm,TRUE,2,2,2,1,1,2,2,1.71428571428573,3,10,0,4,4,public health,FALSE
142,public health,does not cause harm,TRUE,5,4,5,4,4,4,5,4.42857142857141,4,9,0,3,3,public health,TRUE
143,public health,causes harm,FALSE,7,7,7,7,7,7,7,7,1,4,1,6,3,economic growth,FALSE
144,public health,causes harm,TRUE,6,6,7,6,6,7,7,6.42857142857141,4,10,1,3,3,public health,TRUE
145,economic growth,does not cause harm,TRUE,4,4,6,4,4,4,4,4.28571428571427,4,3,0,6,3,public health,FALSE
146,public health,causes harm,TRUE,7,7,7,7,7,7,7,7,3,4,1,4,1,public health,TRUE
147,public health,does not cause harm,TRUE,6,6,7,7,7,7,7,6.71428571428573,4,6,0,6,1,public health,TRUE
148,economic growth,does not cause harm,TRUE,5,4,6,5,5,4,3,4.57142857142859,4,4,0,6,3,public health,FALSE
149,economic growth,causes harm,TRUE,6,7,6,5,7,6,6,6.14285714285714,3,3,1,7,3,public health,FALSE
150,public health,does not cause harm,TRUE,4,3,4,4,5,6,3,4.14285714285714,4,4,1,4,3,public health,TRUE
151,public health,causes harm,TRUE,7,4,5,5,7,7,7,6,2,4,1,3,1,economic growth,FALSE
152,economic growth,does not cause harm,TRUE,4,5.23,4,4,5,6,6,4.89,3,3,1,4,4,public health,FALSE
153,public health,causes harm,TRUE,5,5,3,1,1,3,2,2.85714285714286,1,4,0,2,1,economic growth,FALSE
154,economic growth,causes harm,TRUE,5,6,6,7,5,6,7,6,2,4,1,1,2,economic growth,TRUE
155,public health,causes harm,TRUE,6,6,6,6,6,6,6,6,2,4,0,7,3,economic growth,FALSE
156,economic growth,does not cause harm,TRUE,5,5,5,3,3,3,4,4,2,2,0,6,1,economic growth,TRUE
157,public health,causes harm,FALSE,5,5,5,4,4,5,5,4.71428571428573,2,8,1,2,1,economic growth,FALSE
159,economic growth,does not cause harm,TRUE,3,2,7,1,1,6,1,3,4,7,1,6,3,public health,FALSE
160,economic growth,causes harm,TRUE,5,4,4,3,4,3,3,3.71428571428573,3,3,0,5,4,public health,FALSE
161,economic growth,does not cause harm,TRUE,4,4,4,4,4,4,4,4,2,3,0,4,3,economic growth,TRUE
162,economic growth,does not cause harm,FALSE,6,6,6,6,6,6,6,6,4,9,1,4,2,public health,FALSE
163,economic growth,causes harm,TRUE,5,5,5,5,5,4,5,4.85714285714286,3,8,1,6,3,public health,FALSE
164,public health,causes harm,TRUE,6,6,6,6,6,6,6,6,2,5,0,3,3,economic growth,FALSE
165,public health,causes harm,TRUE,5,5,6,4,5,4,6,5,3,5,0,5,1,public health,TRUE
166,public health,does not cause harm,TRUE,5,5,6,4,5,5,5,5,3,4,0,4,2,public health,TRUE
167,public health,does not cause harm,TRUE,5,5,7,4,5,4,5,5,4,3,1,7,2,public health,TRUE
168,public health,does not cause harm,TRUE,6,6,6,5,5,5,6,5.57142857142859,1,3,0,2,4,economic growth,FALSE
169,public health,causes harm,FALSE,7,7,6,7,7,7,7,6.85714285714286,4,7,0,3,3,public health,TRUE
170,economic growth,does not cause harm,FALSE,6,6,6,6,6,6,6,6,3,3,0,6,3,public health,FALSE
171,economic growth,causes harm,TRUE,6,6,6,6,6,6,6,6,3,3,0,7,3,public health,FALSE
172,public health,does not cause harm,FALSE,4,5,5,4,4,4,5,4.42857142857141,3,4,0,5,3,public health,TRUE
173,public health,does not cause harm,FALSE,7,7,7,7,7,7,7,7,3,2,0,6,1,public health,TRUE
174,economic growth,causes harm,TRUE,6,6,6,5,6,6,5,5.71428571428573,4,4,0,4,3,public health,FALSE
175,public health,causes harm,TRUE,7,7,7,7,7,7,7,7,2,4,1,7,3,economic growth,FALSE
